time,actual_load,predicted_load_histgb,error_histgb
2018-11-30 10:00:00+00:00,34980.0,35099.53242810199,-119.53242810199299
2018-11-30 11:00:00+00:00,34642.0,34349.884095932335,292.1159040676648
2018-11-30 12:00:00+00:00,33498.0,33665.00988525898,-167.00988525897992
2018-11-30 13:00:00+00:00,32736.0,33089.74470593924,-353.74470593924343
2018-11-30 14:00:00+00:00,32280.0,32755.265611500727,-475.26561150072666
2018-11-30 15:00:00+00:00,32783.0,32978.90986202878,-195.90986202877684
2018-11-30 16:00:00+00:00,34791.0,34833.05037279711,-42.05037279710814
2018-11-30 17:00:00+00:00,35117.0,35548.715948846555,-431.71594884655497
2018-11-30 18:00:00+00:00,35104.0,35078.7183594695,25.281640530498407
2018-11-30 19:00:00+00:00,33993.0,33868.212280019485,124.78771998051525
2018-11-30 20:00:00+00:00,32092.0,32148.913777672573,-56.913777672572905
2018-11-30 21:00:00+00:00,29645.0,29512.304244188366,132.69575581163372
2018-11-30 22:00:00+00:00,29215.0,27442.782953204278,1772.2170467957221
2018-11-30 23:00:00+00:00,27059.0,27050.66032075682,8.339679243181308
2018-12-01 00:00:00+00:00,25800.0,25661.952765687685,138.04723431231469
2018-12-01 01:00:00+00:00,25302.0,24919.890566373622,382.1094336263777
2018-12-01 02:00:00+00:00,25221.0,24989.74898643923,231.25101356076993
2018-12-01 03:00:00+00:00,25872.0,25748.510574554595,123.48942544540478
2018-12-01 04:00:00+00:00,28576.0,28846.368447762772,-270.3684477627721
2018-12-01 05:00:00+00:00,33557.0,31540.72128249986,2016.2787175001395
2018-12-01 06:00:00+00:00,36741.0,35733.94825948455,1007.0517405154533
2018-12-01 07:00:00+00:00,37809.0,37283.297012032475,525.7029879675247
2018-12-01 08:00:00+00:00,38406.0,37907.5713419721,498.4286580279004
2018-12-01 09:00:00+00:00,38075.0,38255.69758149558,-180.69758149558038
2018-12-01 10:00:00+00:00,37279.0,37436.835306608205,-157.83530660820543
2018-12-01 11:00:00+00:00,36842.0,36895.240986401295,-53.24098640129523
2018-12-01 12:00:00+00:00,35588.0,36072.715735411795,-484.7157354117953
2018-12-01 13:00:00+00:00,34803.0,34836.90922024783,-33.90922024782776
2018-12-01 14:00:00+00:00,34445.0,34533.6926020609,-88.69260206090257
2018-12-01 15:00:00+00:00,34702.0,34512.29717277073,189.7028272292664
2018-12-01 16:00:00+00:00,36671.0,35483.440063251226,1187.559936748774
2018-12-01 17:00:00+00:00,37541.0,37373.272965196345,167.72703480365453
2018-12-01 18:00:00+00:00,37474.0,37319.21725298316,154.7827470168413
2018-12-01 19:00:00+00:00,36841.0,36031.07221255557,809.9277874444306
2018-12-01 20:00:00+00:00,34624.0,34130.284199594025,493.71580040597473
2018-12-01 21:00:00+00:00,31942.0,31184.660132322544,757.3398676774559
2018-12-01 22:00:00+00:00,26971.0,28032.228569005525,-1061.228569005525
2018-12-01 23:00:00+00:00,25062.0,25070.907658778742,-8.907658778742189
2018-12-02 00:00:00+00:00,23779.0,23917.70645732677,-138.70645732677076
2018-12-02 01:00:00+00:00,23460.0,23052.73760594401,407.2623940559897
2018-12-02 02:00:00+00:00,23515.0,22980.12165940976,534.8783405902395
2018-12-02 03:00:00+00:00,24193.0,24290.60832969994,-97.60832969993862
2018-12-02 04:00:00+00:00,27254.0,26312.41460701572,941.5853929842815
2018-12-02 05:00:00+00:00,32070.0,31527.759505482627,542.240494517373
2018-12-02 06:00:00+00:00,35028.0,34882.66211715931,145.33788284069306
2018-12-02 07:00:00+00:00,36940.0,35945.64777802151,994.3522219784936
2018-12-02 08:00:00+00:00,37882.0,37333.49379256322,548.5062074367816
2018-12-02 09:00:00+00:00,38124.0,37759.55070645856,364.44929354143824
2018-12-02 10:00:00+00:00,37917.0,37867.15907270142,49.84092729858094
2018-12-02 11:00:00+00:00,37907.0,37376.272396962646,530.7276030373541
2018-12-02 12:00:00+00:00,36775.0,37144.0733946473,-369.0733946472974
2018-12-02 13:00:00+00:00,36021.0,36403.52815345883,-382.52815345882846
2018-12-02 14:00:00+00:00,35638.0,35651.53060548368,-13.530605483676482
2018-12-02 15:00:00+00:00,35526.0,35651.5444694185,-125.54446941849892
2018-12-02 16:00:00+00:00,35755.0,35906.86861529297,-151.86861529297312
2018-12-02 17:00:00+00:00,38202.0,35910.62153610248,2291.3784638975194
2018-12-02 18:00:00+00:00,38783.0,38195.4371456278,587.5628543721978
2018-12-02 19:00:00+00:00,37934.0,37683.29192887917,250.70807112083276
2018-12-02 20:00:00+00:00,35230.0,35645.56990670153,-415.5699067015303
2018-12-02 21:00:00+00:00,31690.0,32333.991139645805,-643.9911396458047
2018-12-02 22:00:00+00:00,25503.0,28470.491962188677,-2967.4919621886766
2018-12-02 23:00:00+00:00,23830.0,23831.139360858917,-1.1393608589169162
2018-12-03 00:00:00+00:00,22753.0,22936.60541880358,-183.60541880358141
2018-12-03 01:00:00+00:00,22533.0,22243.534077738794,289.4659222612063
2018-12-03 02:00:00+00:00,22536.0,22597.53274990309,-61.53274990309001
2018-12-03 03:00:00+00:00,23495.0,23413.3665076648,81.63349233520057
2018-12-03 04:00:00+00:00,26793.0,25728.02821594739,1064.97178405261
2018-12-03 05:00:00+00:00,30850.0,31354.322095479012,-504.3220954790122
2018-12-03 06:00:00+00:00,33785.0,33420.271169446256,364.72883055374405
2018-12-03 07:00:00+00:00,34977.0,35032.12606016298,-55.1260601629765
2018-12-03 08:00:00+00:00,35444.0,35598.66075956744,-154.66075956744316
2018-12-03 09:00:00+00:00,35299.0,35580.3832143456,-281.383214345602
2018-12-03 10:00:00+00:00,35097.0,35205.903666134625,-108.90366613462538
2018-12-03 11:00:00+00:00,34807.0,34559.389929214296,247.610070785704
2018-12-03 12:00:00+00:00,33547.0,33871.124800473255,-324.12480047325516
2018-12-03 13:00:00+00:00,32668.0,33075.459223367,-407.4592233669973
2018-12-03 14:00:00+00:00,32404.0,32519.90059740865,-115.90059740865036
2018-12-03 15:00:00+00:00,32121.0,32568.19510074924,-447.1951007492389
2018-12-03 16:00:00+00:00,32044.0,33177.80667436012,-1133.806674360123
2018-12-03 17:00:00+00:00,34188.0,33169.11356304285,1018.8864369571529
2018-12-03 18:00:00+00:00,35768.0,34810.83287404941,957.1671259505893
2018-12-03 19:00:00+00:00,34789.0,35581.24924534778,-792.2492453477826
2018-12-03 20:00:00+00:00,32301.0,32249.768813818016,51.2311861819835
2018-12-03 21:00:00+00:00,29336.0,29345.11601850254,-9.1160185025401
2018-12-03 22:00:00+00:00,27710.0,26859.36823754912,850.6317624508811
2018-12-03 23:00:00+00:00,25730.0,25665.67697134618,64.32302865382007
2018-12-04 00:00:00+00:00,24636.0,24408.106531742713,227.89346825728717
2018-12-04 01:00:00+00:00,24126.0,23979.403723025043,146.5962769749567
2018-12-04 02:00:00+00:00,23915.0,23947.103857393762,-32.103857393762155
2018-12-04 03:00:00+00:00,24437.0,25003.045267915208,-566.0452679152077
2018-12-04 04:00:00+00:00,26962.0,26991.75527624173,-29.755276241729007
2018-12-04 05:00:00+00:00,30781.0,31093.747714918183,-312.7477149181832
2018-12-04 06:00:00+00:00,33269.0,33201.52243454341,67.47756545658922
2018-12-04 07:00:00+00:00,34663.0,34609.11201209326,53.887987906739
2018-12-04 08:00:00+00:00,35162.0,35202.940907255805,-40.94090725580463
2018-12-04 09:00:00+00:00,35230.0,35469.20852338475,-239.2085233847465
2018-12-04 10:00:00+00:00,35162.0,35149.45719790357,12.542802096431842
2018-12-04 11:00:00+00:00,34744.0,34766.08543751524,-22.08543751524121
2018-12-04 12:00:00+00:00,33613.0,33786.22577951304,-173.22577951304265
2018-12-04 13:00:00+00:00,33216.0,33125.77397463345,90.22602536655177
2018-12-04 14:00:00+00:00,33060.0,33102.45213207622,-42.45213207622146
2018-12-04 15:00:00+00:00,32704.0,33340.85707076436,-636.8570707643594
2018-12-04 16:00:00+00:00,31895.0,33267.603477619494,-1372.6034776194938
2018-12-04 17:00:00+00:00,31776.0,32712.88663049415,-936.8866304941512
2018-12-04 18:00:00+00:00,33445.0,32547.431133495375,897.5688665046255
2018-12-04 19:00:00+00:00,35217.0,33041.9671482475,2175.0328517524977
2018-12-04 20:00:00+00:00,32555.0,33314.720732427,-759.7207324269984
2018-12-04 21:00:00+00:00,29863.0,29393.280129355433,469.719870644567
2018-12-04 22:00:00+00:00,25670.0,27326.506472117635,-1656.506472117635
2018-12-04 23:00:00+00:00,24166.0,24100.980849697007,65.01915030299278
2018-12-05 00:00:00+00:00,23019.0,23185.92696155682,-166.92696155681915
2018-12-05 01:00:00+00:00,22349.0,22458.70354604886,-109.7035460488587
2018-12-05 02:00:00+00:00,22050.0,22163.16056887376,-113.1605688737618
2018-12-05 03:00:00+00:00,21894.0,22572.376913001273,-678.3769130012734
2018-12-05 04:00:00+00:00,22201.0,22838.672447396806,-637.6724473968061
2018-12-05 05:00:00+00:00,22448.0,23535.59006112322,-1087.590061123221
2018-12-05 06:00:00+00:00,24394.0,23411.02815756756,982.9718424324383
2018-12-05 07:00:00+00:00,26495.0,26548.514985580874,-53.514985580874054
2018-12-05 08:00:00+00:00,28000.0,27927.914780149957,72.08521985004336
2018-12-05 09:00:00+00:00,28433.0,28529.7107105776,-96.71071057760128
2018-12-05 10:00:00+00:00,28432.0,28351.67771356419,80.32228643581038
2018-12-05 11:00:00+00:00,28368.0,28192.48087166276,175.51912833724055
2018-12-05 12:00:00+00:00,27530.0,27826.394016471197,-296.39401647119666
2018-12-05 13:00:00+00:00,26271.0,26504.798342269223,-233.7983422692232
2018-12-05 14:00:00+00:00,25460.0,25808.902310664773,-348.9023106647728
2018-12-05 15:00:00+00:00,25137.0,25536.67238015244,-399.67238015243856
2018-12-05 16:00:00+00:00,24971.0,26025.003925631157,-1054.0039256311575
2018-12-05 17:00:00+00:00,25277.0,26389.825450035907,-1112.8254500359071
2018-12-05 18:00:00+00:00,26017.0,27478.994367554285,-1461.9943675542854
2018-12-05 19:00:00+00:00,27483.0,27610.537659551526,-127.5376595515263
2018-12-05 20:00:00+00:00,26875.0,27078.539681551298,-203.5396815512977
2018-12-05 21:00:00+00:00,25171.0,25497.415066938804,-326.41506693880365
2018-12-05 22:00:00+00:00,25732.0,23547.539919614755,2184.4600803852445
2018-12-05 23:00:00+00:00,24356.0,24444.807404618794,-88.80740461879395
2018-12-06 00:00:00+00:00,23490.0,23298.93311964091,191.06688035908883
2018-12-06 01:00:00+00:00,23125.0,22960.62130590183,164.37869409816994
2018-12-06 02:00:00+00:00,22978.0,23012.613274493637,-34.61327449363671
2018-12-06 03:00:00+00:00,23300.0,23710.995753622305,-410.9957536223046
2018-12-06 04:00:00+00:00,24976.0,25008.74950722211,-32.74950722210997
2018-12-06 05:00:00+00:00,27606.0,27903.92493863169,-297.9249386316915
2018-12-06 06:00:00+00:00,29701.0,29969.66431168538,-268.6643116853811
2018-12-06 07:00:00+00:00,30960.0,31408.749052401523,-448.74905240152293
2018-12-06 08:00:00+00:00,31596.0,31538.091859701195,57.90814029880494
2018-12-06 09:00:00+00:00,32145.0,31943.146977410302,201.8530225896975
2018-12-06 10:00:00+00:00,32490.0,32255.496527430274,234.503472569726
2018-12-06 11:00:00+00:00,32435.0,32118.929025263213,316.0709747367873
2018-12-06 12:00:00+00:00,31601.0,31717.46560860971,-116.4656086097093
2018-12-06 13:00:00+00:00,31098.0,31035.79736543595,62.20263456405155
2018-12-06 14:00:00+00:00,31048.0,30939.4571290489,108.54287095109976
2018-12-06 15:00:00+00:00,30875.0,31181.720645650388,-306.7206456503882
2018-12-06 16:00:00+00:00,30389.0,31039.664124991086,-650.6641249910863
2018-12-06 17:00:00+00:00,30143.0,31121.388774014355,-978.3887740143546
2018-12-06 18:00:00+00:00,30364.0,31033.879457922492,-669.8794579224923
2018-12-06 19:00:00+00:00,30756.0,30723.9876796124,32.012320387599175
2018-12-06 20:00:00+00:00,29915.0,29434.05280464734,480.94719535265904
2018-12-06 21:00:00+00:00,27434.0,27838.467401857364,-404.46740185736417
2018-12-06 22:00:00+00:00,28518.0,25861.16055880857,2656.8394411914305
2018-12-06 23:00:00+00:00,26746.0,26705.855662532646,40.14433746735449
2018-12-07 00:00:00+00:00,25737.0,25533.090284433605,203.90971556639488
2018-12-07 01:00:00+00:00,25253.0,24912.719805363668,340.28019463633245
2018-12-07 02:00:00+00:00,25078.0,25009.774789971587,68.22521002841313
2018-12-07 03:00:00+00:00,25414.0,25797.118467538716,-383.1184675387158
2018-12-07 04:00:00+00:00,26956.0,27567.255093601492,-611.2550936014923
2018-12-07 05:00:00+00:00,29071.0,30485.110692708025,-1414.1106927080255
2018-12-07 06:00:00+00:00,31395.0,31095.24357167294,299.75642832705853
2018-12-07 07:00:00+00:00,33377.0,32407.64056311275,969.3594368872509
2018-12-07 08:00:00+00:00,34496.0,34026.5472840628,469.452715937201
2018-12-07 09:00:00+00:00,35273.0,34615.67357654926,657.3264234507369
2018-12-07 10:00:00+00:00,36117.0,35497.54132835956,619.4586716404374
2018-12-07 11:00:00+00:00,36412.0,36102.26407447931,309.7359255206902
2018-12-07 12:00:00+00:00,35869.0,35598.3405706084,270.6594293915987
2018-12-07 13:00:00+00:00,35308.0,35258.43189151144,49.56810848855821
2018-12-07 14:00:00+00:00,35509.0,35090.1094281499,418.89057185009733
2018-12-07 15:00:00+00:00,35397.0,35562.75092497143,-165.7509249714276
2018-12-07 16:00:00+00:00,34752.0,35726.214873539335,-974.2148735393348
2018-12-07 17:00:00+00:00,34093.0,35003.54577754278,-910.5457775427785
2018-12-07 18:00:00+00:00,33506.0,34097.18818474852,-591.1881847485201
2018-12-07 19:00:00+00:00,33098.0,33203.64865413202,-105.64865413201915
2018-12-07 20:00:00+00:00,32485.0,32087.4815973937,397.5184026062998
2018-12-07 21:00:00+00:00,30418.0,29978.897662683827,439.10233731617336
2018-12-07 22:00:00+00:00,26589.0,28125.48991699853,-1536.4899169985292
2018-12-07 23:00:00+00:00,25191.0,24880.217577389474,310.7824226105258
2018-12-08 00:00:00+00:00,23966.0,23953.01792156918,12.982078430821275
